-- initial wave,, ,, ,
already done,Gar+-DefFuzAutCorImpStrFuzSym, ,"J.R. Garitagoitia, J.R.G. de Mendivil, J. Echanobe, J.J. Astrain, F. Farina", ,Deformed fuzzy automata for correcting imperfect strings of fuzzy symbols
ok,PedGac-LeaFuzzAut, ,"W. Pedrycz, A. Gacek", ,Learning of fuzzy automata
not found,DooKre-FuzFinStaAutUniNumOthPopCompPar, ,"M. Doostfatemeh, S.C. Kremer", ,A fuzzy finite-state automaton that unifies a number of other popular computational paradigms
ok,Rei-FuzAutLif, ,C.A. Reiter, ,Fuzzy automata and life
ok,SriTiw-TopoFuzAut, ,"A.K. Srivastava, S.P. Tiwari", ,A topology for fuzzy automata
already done,BlaDelPeg-FuzzAutIndUsNeuNet, ,"A. Blanco, M. Delgado, M.C. Pegalajar", ,Fuzzy automata induction using neural network
ok,BlaDelPeg-FuzzGraIntUsiNeuNet, ,"A. Blanco, M. Delgado, M. Pegalajar", ,Fuzzy grammar inference using neural networks
not found,KosChr-NeuNetIdFuzDynSys+, ,"E. Kosmatopoulos, M. Christodoulou", ,Neural networks for identification of fuzzy dynamical systems: an application to identification of vehicle highway systems
already done,GilOmlTho-EquKnoRep+, ,C. LEE GILES; CHRISTIAN W. OMLIN; KARVEL K. THORNBER, ,"Equivalence in knowledge representation: automata, rnns, and dynamical fuzzy systems"
already done,OmlThoGil-FuzzFinStaAutCanDetEncIntRecNeuNet, ,"Omlin, K.K. Thornber, C.L. Giles", ,Fuzzy finite-state automata can be deterministically encoded into recurrent neural networks
not found,BruFu-ModFinStaProbSys, ,"G.D. Bruce, K.S. Fu", ,A model for finite-state probabilistic systems
--,-- Ech+-DefSyssConPre, ,, ,
