	Stie-NeuNetAnaCompBeyTurLim	H.T. Siegelmann	Neural Networks and Analog Computation: Beyond the Turing Limit	 
	Fu-SynPatRecApp	K.S. Fu	Syntactic Pattern Recognition and Applications	 
	AhoUl-ThePasTraComp	A.V. Aho, J.D. Ullman	Computation of the greatest simulations and bisimulations between fuzzy automata	 
	Hal-ApprStrMatc	Hall, Dowling	Approximate String Matching	 
	Mel-ApprStrMatcFinAut	Melichar	Approximate String Matching by Finite Automata	 
	Nav-GuiToApproStrMat	Navaroo	A guided tour to aprroximate string matching	 
	WagFis-StrStrCorrPro	Wagner, Fisher	String-to-string correction problem	 
	Zim-FuzSetTheApp	Zimmermann	Fuzzy set theory and  its applications	 
	ChoRav-IntFuzzAutIntFuzRegExp	Choubey, Ravi	Intuistionic fuzzy automata and intuistionic fuzzy regular expressions	 
	Qiu-SupConFuzDisEveSysForApp	D. Qiu	Supervisory control of fuzzy discrete event systems: a formal approach	 
	TzaRig-StaAnaAdaFuzzConSysUsiPetrNetLeaAut	S.G. Tzafestas, G.G. Rigatos	Stability analysis of an adaptive fuzzy control system using Petri Nets and learning automata	 
	MarPir+ModEleDriSysForLanApp	J.F. Martins, A.J. Pires, R. Vilela Mendes, J.A. Dente	Modelling electromechanical drive systems: a formal language approach	 
	CheMo-MinAlgFuzFinAut	W. Cheng, Z. Mo	Minimization algorithm of fuzzy finite automata	 
	IliYu-FollAut	L. Ilie, S. Yu	Follow automata	 
